"risk_id","title","asset_id","risk_category","scenario","threat","vulnerability","existing_controls","L_1to5","I_1to5","score","level","residual_L_1to5","residual_I_1to5","residual_score","residual_level","residual_assumption","treatment","actions","owner","target_date","status","notes"
"R01","Account takeover via phishing","A01","IAM / Phishing","User clicks phishing link -> creds captured -> attacker accesses cloud apps/data","Phishing / credential theft","Weak MFA coverage, user awareness gaps","MFA partial, basic filtering","4","4","16","Critical","3","4","12","High","Heuristic v1.2 (adjust manually)","Reduce","Enforce MFA for all; conditional access; phishing awareness; disable legacy auth","IT","2026-03-31","Open","Top risk for most orgs"
"R02","BEC / invoice fraud","A02","Fraud / BEC","Attacker spoofs supplier email -> finance pays fake invoice","Social engineering","No payment verification workflow","SPF/DKIM partial","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","2-person approval; out-of-band vendor bank change verification; DMARC rollout","Finance","2026-02-28","Open","High business impact"
"R03","Ransomware via remote access","A06","Ransomware / Remote Access","Stolen creds or vuln on VPN/RDP -> lateral move -> encryption","Ransomware","Remote access exposure, weak segmentation","VPN exists, patching inconsistent","3","5","15","Critical","2","5","10","High","Heuristic v1.2 (adjust manually)","Reduce","Patch/VPN hardening; MFA; restrict admin access; segmentation; EDR rollout","IT","2026-04-30","Open","Include backup/restore test"
"R04","Backup compromise / no recovery","A05","Resilience / Backups","Ransomware deletes backups -> no restore","Ransomware","Backups not immutable, restore not tested","Daily backups","3","5","15","Critical","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Immutable/offline backups; separate creds; monthly restore test; backup monitoring","IT","2026-03-31","Open","Recovery is a control, not a hope"
"R05","Privileged account misuse","A08","IAM / Privileged Access","Admin creds leaked -> full takeover","Credential theft","Shared admin accounts, no PAM, weak logging","Some admin separation","3","5","15","Critical","2","5","10","High","Heuristic v1.2 (adjust manually)","Reduce","Unique admin accounts; PAM lite; just-in-time; audit logs; break-glass process","IT","2026-05-31","Open","Core governance risk"
"R06","Data leakage via cloud sharing","A04","Data Protection / Sharing","Sensitive docs shared publicly by mistake","Human error","No classification, permissive sharing defaults","Some permissions","4","3","12","High","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","Block external sharing by default; classification; DLP lite; periodic access review","IT","2026-04-15","Open","Common and measurable"
"R07","Unpatched endpoints exploited","A03","Endpoint Security / Patching","Malware exploits outdated software on laptops","Malware","Patch management gaps","Antivirus","4","3","12","High","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","Patch SLA; auto-update; inventory; remove local admin; EDR","IT","2026-03-15","Open","Quick wins possible"
"R08","Lost/stolen laptop exposes data","A03","Endpoint Security / Device Loss","Lost device exposes cached data","Physical loss","No full disk encryption, weak MDM","Password policy","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","BitLocker; MDM; remote wipe; conditional access for compliant devices","IT","2026-03-31","Open","Easy to justify"
"R09","Supplier compromise impacts services","A10","Third-Party Risk","Vendor breach -> access to org data/services","Supply chain","No vendor security review, weak contracts","Basic vendor selection","3","4","12","High","2","4","8","Medium","Heuristic v1.2 (adjust manually)","Reduce","Vendor questionnaire; contract clauses; access minimization; annual review","Procurement","2026-06-30","Open","GRC-friendly"
"R10","Insufficient logging & detection","A01","Detection / Logging","Attack happens but not detected quickly","Multiple","Logs not centralized, no alerting","Some local logs","4","4","16","Critical","3","4","12","High","Heuristic v1.2 (adjust manually)","Reduce","Centralize logs; define top alerts; incident playbooks; quarterly tabletop","IT","2026-06-30","Open","Risk-driven and realistic"
"R11","Weak incident response readiness","A05","Incident Response","No clear roles/process -> slow containment","Operational","No IR plan, no exercises","Ad hoc response","4","4","16","Critical","3","3","9","Medium","Heuristic v1.2 (adjust manually)","Reduce","IR plan; RACI; contact list; tabletop exercise; evidence preservation guide","Security","2026-05-31","Open","Must-have for cyber-risk"
"R12","Public portal vulnerability","A07","AppSec / Web","Web vuln exploited -> data leak / defacement","Web attack","No SDLC/security testing","Occasional updates","3","3","9","Medium","2","3","6","Medium","Heuristic v1.2 (adjust manually)","Reduce","Basic SAST/DAST; patch cadence; WAF rules; vuln disclosure process","IT","2026-07-31","Open","Keep realistic"
